Epoch 1 Batch 6900 Loss 1.0412 Accuracy 0.1707
Epoch 1 Batch 6950 Loss 1.0405 Accuracy 0.1708
Epoch 1 Batch 7000 Loss 1.0397 Accuracy 0.1709
Epoch 1 Batch 7050 Loss 1.0390 Accuracy 0.1710
Epoch 1 Batch 7100 Loss 1.0384 Accuracy 0.1712
Epoch 1 Batch 7150 Loss 1.0376 Accuracy 0.1713
Epoch 1 Batch 7200 Loss 1.0368 Accuracy 0.1714
Epoch 1 Batch 7250 Loss 1.0360 Accuracy 0.1715
Epoch 1 Batch 7300 Loss 1.0353 Accuracy 0.1716
Epoch 1 Batch 7350 Loss 1.0345 Accuracy 0.1717
Epoch 1 Batch 7400 Loss 1.0337 Accuracy 0.1718
Epoch 1 Batch 7450 Loss 1.0331 Accuracy 0.1719
Epoch 1 Batch 7500 Loss 1.0322 Accuracy 0.1720
Epoch 1 Batch 7550 Loss 1.0310 Accuracy 0.1720
Epoch 1 Batch 7600 Loss 1.0293 Accuracy 0.1718
Epoch 1 Batch 7650 Loss 1.0273 Accuracy 0.1716
Epoch 1 Batch 7700 Loss 1.0250 Accuracy 0.1712
Epoch 1 Batch 7750 Loss 1.0225 Accuracy 0.1708
Epoch 1 Batch 7800 Loss 1.0197 Accuracy 0.1704
Epoch 1 Batch 7850 Loss 1.0168 Accuracy 0.1698
Epoch 1 Batch 7900 Loss 1.0137 Accuracy 0.1693
Epoch 1 Batch 7950 Loss 1.0105 Accuracy 0.1687
Epoch 1 Batch 8000 Loss 1.0072 Accuracy 0.1681
Epoch 1 Batch 8050 Loss 1.0039 Accuracy 0.1675
Epoch 1 Batch 8100 Loss 1.0004 Accuracy 0.1669
Epoch 1 Batch 8150 Loss 0.9968 Accuracy 0.1662
Epoch 1 Batch 8200 Loss 0.9933 Accuracy 0.1656
Epoch 1 Batch 8250 Loss 0.9897 Accuracy 0.1650
Epoch 1 Batch 8300 Loss 0.9861 Accuracy 0.1643
Epoch 1 Batch 8350 Loss 0.9826 Accuracy 0.1636
Epoch 1 Batch 8400 Loss 0.9789 Accuracy 0.1630
Epoch 1 Batch 8450 Loss 0.9754 Accuracy 0.1623
Epoch 1 Batch 8500 Loss 0.9718 Accuracy 0.1617
Epoch 1 Batch 8550 Loss 0.9683 Accuracy 0.1610
Epoch 1 Batch 8600 Loss 0.9647 Accuracy 0.1604
Epoch 1 Batch 8650 Loss 0.9612 Accuracy 0.1598
Epoch 1 Batch 8700 Loss 0.9578 Accuracy 0.1591
Epoch 1 Batch 8750 Loss 0.9543 Accuracy 0.1585
Epoch 1 Batch 8800 Loss 0.9509 Accuracy 0.1579
Epoch 1 Batch 8850 Loss 0.9475 Accuracy 0.1573
Epoch 1 Batch 8900 Loss 0.9441 Accuracy 0.1567
Epoch 1 Batch 8950 Loss 0.9407 Accuracy 0.1561
Epoch 1 Batch 9000 Loss 0.9374 Accuracy 0.1556
Epoch 1 Batch 9050 Loss 0.9341 Accuracy 0.1550
Epoch 1 Batch 9100 Loss 0.9308 Accuracy 0.1544
Epoch 1 Batch 9150 Loss 0.9276 Accuracy 0.1539
Epoch 1 Batch 9200 Loss 0.9245 Accuracy 0.1533
Epoch 1 Batch 9250 Loss 0.9213 Accuracy 0.1528
Epoch 1 Batch 9300 Loss 0.9183 Accuracy 0.1522
Epoch 1 Batch 9350 Loss 0.9153 Accuracy 0.1517
Epoch 1 Batch 9400 Loss 0.9122 Accuracy 0.1511
Epoch 1 Batch 9450 Loss 0.9092 Accuracy 0.1506
Epoch 1 Batch 9500 Loss 0.9061 Accuracy 0.1501
Epoch 1 Batch 9550 Loss 0.9031 Accuracy 0.1496
Epoch 1 Batch 9600 Loss 0.9000 Accuracy 0.1491
Epoch 1 Batch 9650 Loss 0.8971 Accuracy 0.1486
Epoch 1 Batch 9700 Loss 0.8942 Accuracy 0.1481
Epoch 1 Batch 9750 Loss 0.8913 Accuracy 0.1476
Epoch 1 Batch 9800 Loss 0.8885 Accuracy 0.1472
Epoch 1 Batch 9850 Loss 0.8858 Accuracy 0.1468
Epoch 1 Batch 9900 Loss 0.8830 Accuracy 0.1464
Epoch 1 Batch 9950 Loss 0.8803 Accuracy 0.1460
Epoch 1 Batch 10000 Loss 0.8777 Accuracy 0.1456
Epoch 1 Batch 10050 Loss 0.8751 Accuracy 0.1452
Epoch 1 Batch 10100 Loss 0.8726 Accuracy 0.1448
Epoch 1 Batch 10150 Loss 0.8701 Accuracy 0.1444
Epoch 1 Batch 10200 Loss 0.8677 Accuracy 0.1440
Epoch 1 Batch 10250 Loss 0.8653 Accuracy 0.1437
Epoch 1 Batch 10300 Loss 0.8632 Accuracy 0.1433
Epoch 1 Batch 10350 Loss 0.8611 Accuracy 0.1430
Epoch 1 Batch 10400 Loss 0.8593 Accuracy 0.1427
Epoch 1 Batch 10450 Loss 0.8575 Accuracy 0.1424
Epoch 1 Batch 10500 Loss 0.8557 Accuracy 0.1421
Epoch 1 Batch 10550 Loss 0.8540 Accuracy 0.1418
Epoch 1 Batch 10600 Loss 0.8523 Accuracy 0.1416
Epoch 1 Batch 10650 Loss 0.8505 Accuracy 0.1413
Epoch 1 Batch 10700 Loss 0.8488 Accuracy 0.1411
Epoch 1 Batch 10750 Loss 0.8471 Accuracy 0.1408
Epoch 1 Batch 10800 Loss 0.8455 Accuracy 0.1406
